656,BERLIN-WEDDING,14 - BERLIN
657,BONN-BEUEL,22 - WEST
658,KASSEL,15 - HESSEN
659,HEPPENHEIM,17 - RHEIN-MAIN-NECKAR
661,MÜNSTER,22 - WEST
662,DONAUESCHINGEN,27 - SÜD
663,HAMBURG-BRAMFELD,31 - NORD
664,HAMBURG-STELLINGEN,31 - NORD
665,KÖLN-EHRENFELD,32 - MITTELRHEIN
666,LÜNEBURG,31 - NORD
667,ROSTOCK-SCHUTOW,14 - BERLIN
668,SCHWERIN-GROSSER-DREESCH,31 - NORD
669,GERA,14 - BERLIN
812,BERLIN-CHARLOTTENBURG,11 - BERLIN
814,BERLIN-NEUKÖLLN,11 - BERLIN
840,BERLIN-SCHÖNEBERG,25 - BERLIN
850,BERLIN-WITTENAU,25 - BERLIN
851,HAMBURG-WANDSBEK,31 - NORD
852,KARLSRUHE-OSTSTADT,33 - RHEIN-DONAU
853,KIEL-RAVENSBERG,31 - NORD
854,MAINZ-MOMBACH,32 - MITTELRHEIN
855,COTTBUS,14 - BERLIN
856,HENNEF,32 - MITTELRHEIN
857,KOBLENZ-LÜTZEL,32 - MITTELRHEIN
858,HAMBURG-LANGENHORN,31 - NORD
859,NÜRNBERG,33 - RHEIN-DONAU
861,SCHWEINFURT,33 - RHEIN-DONAU
862,AUGSBURG-OBERHAUSEN,33 - RHEIN-DONAU
863,BREMEN-OSTERHOLZ,31 - NORD
864,LÜBECK-MOISLING,31 - NORD
865,HAMBURG-LURUP,31 - NORD
866,BERLIN,18 - NORD-OST
868,WUPPERTAL-BARMEN,13 - RHEINLAND
870,MÜNCHEN-FREIMANN,28 - BAYERN
871,STUTTGART,16 - SCHWABEN
872,BRUCHSAL,17 - RHEIN-MAIN-NECKAR
874,HASSLOCH,23 - SÜDWEST
875,REUTLINGEN,16 - SCHWABEN
877,TRIER,23 - SÜDWEST
878,DÜSSELDORF-RATH,29 - RHEIN-RUHR
879,MÖNCHENGLADBACH,13 - RHEINLAND
890,BONN-ENDENICH,13 - RHEINLAND
891,PULHEIM,13 - RHEINLAND
892,BERGISCH-GLADBACH,13 - RHEINLAND
893,AHRWEILER,13 - RHEINLAND
894,BERLIN-STEGLITZ,25 - BERLIN
896,WIESBADEN,15 - HESSEN
898,BAD-VILBEL,15 - HESSEN
